,Year,"U.S. total population, July 11",Butter7,Margarine7,Lard2,Edible tallow2,Shortening,Salad and cooking oils3 4,Other edible fats and oils5,Total6
53,1958,174.141,8.42995044245755,8.912318178946945,9.429140753757013,,11.289702023073257,,10.5,48.56111139823476
54,1959,177.073,8.030586255386197,9.064058326227036,8.685683305755253,,12.58238127777809,,11.2,49.56270916514657
55,1960,180.671,7.654797947650702,9.331879493665282,7.447238350371671,,12.601358270004594,,11.5,48.53527406169225
56,1961,183.691,7.5180602206967135,9.336331121285202,7.507716763477796,,12.854739753172447,,11.2,48.41684785863215
57,1962,186.538,7.531977398706966,9.172393828603287,6.979811084068661,,13.445517803343018,,11.7,48.82970011472193
58,1963,189.242,7.096733283309202,9.448219739804061,6.193128375307808,,13.546675685101617,,13.2,49.484757083522695
59,1964,191.889,7.1030647926665935,9.56803151822147,6.150951852372987,,13.76420743242187,,14.2,50.78625559568292
60,1965,194.303,6.649408398223393,9.78883496394806,6.244885565328378,,14.160872451789215,12.5,1.6,50.94400137928905
61,1966,196.56,5.753968253968254,10.607448107448107,5.34900284900285,,15.964590964590965,12.732000407000406,2.4,52.80701058201058
62,1967,198.712,5.520552357180241,10.527799025725674,5.2030073674463555,,15.934618946012321,12.66622045976086,2.4,52.252198156125445
63,1968,200.706,5.844369376102359,10.672326686795612,5.392962841170668,,16.265084252588363,13.50109114824669,2.4,54.07583430490369
64,1969,202.677,5.639515090513477,10.691889064866759,4.869486917607819,,17.036960286564337,14.24243007346665,2.3,54.78028143301904
65,1970,205.052,5.365702358426156,10.841152488149348,4.475186781889472,,17.345843981038954,15.378094337046214,2.3,55.70597994655014
66,1971,207.661,5.14598311671426,10.912015255632978,4.052518287015857,,16.802866209832374,15.608043879206976,2.3,54.821426748402445
67,1972,209.896,4.951437854937684,11.14361398025689,3.4524526432137828,,17.61967831688074,16.82122098563098,2.3,56.28840378092007
68,1973,211.909,4.8072946406240415,11.108541874106338,3.2205097471084287,,17.053074668843703,17.678923500181682,2.6,56.4683444308642
69,1974,213.854,4.460407567779887,11.129088069430546,3.020546728141629,,16.93912669391267,18.058839208057833,1.7,55.30800826732256
70,1975,215.973,4.728192875961347,11.050043292448594,3.0323605265472997,,16.86712690938219,17.87171544591222,1.9817291976311853,55.53116824788283
71,1976,218.035,4.31320200885179,11.936615680968652,2.735803884697411,,17.48500011466049,19.463677849886487,2.040956727130965,57.9752562661958
72,1977,220.23899999999998,4.294180413096682,11.361747919305845,2.327707626714615,,16.458906006656406,19.12895536212932,1.9161002365611906,55.48759756446407
73,1978,222.585,4.354592627535547,11.264635981759776,2.180250241480782,,17.1178201585911,20.049895545521938,2.0351775726127097,57.00237212750186
74,1979,225.055,4.491231032414299,11.182937504165647,2.2810068649885578,0.38790517873408703,17.678967363533356,20.762684677078937,1.6751460754037901,58.45987869631867
75,1980,227.726,4.467509199652214,11.307711899387863,2.342718881462811,1.0565328508822007,16.88631952434065,21.236099523111108,1.5061960426126133,58.80308792144946
76,1981,229.966,4.238243914317769,11.119226320412581,2.2207935086056203,0.9723176469565071,16.67079481314629,21.682774844977082,1.3915100493116372,58.29566109772748
77,1982,232.188,4.3513273726463035,11.041298430582115,2.3090211380433097,1.3463701827829178,16.646329698347895,21.447981807845366,1.6107636914913777,58.75309232173928
78,1983,234.307,4.906797492179064,10.37750045879978,1.7113615897092274,2.1382417085277003,16.404665673667456,23.58632904693415,1.5577852987746845,60.682681268592056
79,1984,236.348,4.97629766276846,10.3921674818488,1.8702379542031242,1.7691116489244672,20.067231370690674,22.529122311168276,1.7093438489007733,63.313512278504575
80,1985,238.466,4.872090780237015,10.791567770667516,1.5816594399201565,1.994548489092784,22.108753449129015,23.910603608061525,1.5725512232351782,66.8317747603432
81,1986,240.651,4.832487710418822,11.413682054094933,1.5334737856896503,1.8424648141915059,21.336445724306152,25.004695596527753,1.6787796435502034,67.64202932877902
82,1987,242.804,4.435206998237261,10.507425742574256,1.5600813825142912,0.9504167970873622,20.845570913164526,26.477866921467523,1.3014612609347458,66.07803001597996
83,1988,245.021,4.485595112255685,10.318201297031683,1.4878969557711381,0.8572897833246951,20.680729406867165,27.56457201627616,1.2978479395643638,66.69213251109089
84,1989,247.342,4.430606205173404,10.158221301897226,1.1874503229843132,0.274801246906663,20.48127289340265,25.59654243921372,1.2654543102263263,63.394348719804306
85,1990,250.132,4.307093854444853,10.859587765528186,0.9003946916028338,0.6166688441754109,20.607295348056226,25.139268905336877,1.1633857323333279,63.59369514147771
86,1991,253.493,4.376594225481571,10.538796727966421,0.6892931757484433,1.447252892154229,20.209623145412298,26.288750297040554,1.2663071564106307,64.81661762021415
87,1992,256.894,4.3241570453183025,10.912833300057533,0.407504593334216,2.3821003721379252,20.568343363410587,27.038117992182894,1.428604794195271,67.06166146063673
88,1993,260.255,4.654112312923864,11.023576947926998,0.36479278400030757,2.1885073639315284,24.05618335862904,26.539615054044724,1.7329157941249929,70.55970361558145
89,1994,263.436,4.7303709439863955,9.843979456171391,0.68730717451126,2.426304943136094,23.632738122352304,25.982946328000345,1.6170910581697264,68.9207380263275
90,1995,266.557,4.610306858742898,9.082314604282738,0.3890891323199616,2.689198051448658,22.16255435047663,26.474718730857024,1.6270441218951293,67.03522585002302
91,1996,269.667,4.293474099445207,9.019323033148467,0.5560360348624341,2.908793011380703,21.880949467305975,25.674396147108535,1.3375756025023455,65.67054739575366
92,1997,272.912,4.187137874589212,8.435210667392624,0.7613368140459417,2.1416480144911927,20.466139268335585,28.037158672385914,1.0897285571905961,65.11835986843107
93,1998,276.115,4.3377695094862405,8.17505718986696,0.7028462713725296,3.1448442234952614,20.43855639860203,27.2773903993686,1.3208264672328558,65.39729045942448
94,1999,279.295,4.6149737897887535,7.892959666560423,0.6641991635362826,3.5672423582426105,20.98484698432422,28.750565203736105,1.5442453319966343,68.01903249818503
95,2000,282.385,4.466170349365629,8.212756601117588,0.7827099578267332,3.9842568874569197,31.546522274132656,33.71836976803084,1.5174318749225348,84.2282177128529
96,2001,285.309019,4.343024575706233,6.971396071119245,1.1407772662541105,3.0447337309437317,32.45335749743797,35.55492383389989,1.4286264115611433,84.93683938692232
97,2002,288.104818,4.397573535462436,6.513863300370964,1.2853563970061963,3.3792917528453135,32.79694407551675,39.67342807651213,1.3946313108863038,89.44108844860008
98,2003,290.819634,4.453272553650728,5.253299980886716,1.2671689671766801,3.808658522365213,32.51438942595418,40.17182328792605,1.3259077273991755,88.79452046535874
99,2004,293.463185,4.494175365608024,5.232951285717654,0.7503135874449672,3.9639655481702407,32.47875098232517,39.95095160676291,1.4843429168125468,88.35545129284151
100,2005,296.186216,4.513320573670923,4.0060096045877644,1.5522081942848687,3.767137087774538,28.98829223044703,42.73451416507628,1.620564948910384,87.18204680475179
101,2006,298.995825,4.664971432323265,4.571523430347148,1.6676596003888078,3.8811648001291443,24.837764591974214,44.55723711413579,2.145829728558918,86.32615069785729
102,2007,302.003917,4.683704329068832,4.519877302324784,1.6116108412140495,2.9451505263233653,20.949279483770184,50.19323012452783,1.6800576795167859,86.58291028674584
103,2008,304.797761,4.973427440996872,4.187891849210481,1.0414576128544855,2.9405098569468553,18.0062063082899,54.03309160094366,1.6487719540695709,86.83135662331183
104,2009,307.439406,4.951093167211236,3.6550837728255963,1.4561348419872304,0.6881801395627987,15.924104158073225,51.03533748248276,1.6819444414357214,79.39187800357857
105,2010,309.745698,4.9120393773267645,3.538006678342587,1.548894032314392,3.2849354689975385,15.323778829635549,53.569675310167554,1.6726495423352095,83.84997923911959
106,2011,311.997049,5.372649252055847,,,,,,,
107,2012,314.210786,5.505231324216404,,,,,,,
108,2013,316.358778,5.474058229105153,,,,,,,
109,2014,318.662368,5.500337573172673,,,,,,,
110,2015,320.978213,5.608702034746864,,,,,,,
111,2016,323.291042,5.700713602101526,,,,,,,
112,2017,325.186237,5.697281385414992,,,,,,,
