,Year,Fluid Milk,Fluid Cream,Sour Cream,Yoghurt,Butter,American Cheese,Other Cheeses,Total,Cottage Cheese,Ice cream,Lowfat and non fat icecream,Sherbet,Frozen Yoghurt,Other Frozen Prodcuts,Total,Whole Milk/Evaporated_Condensed,Skim Milk/Evaporated_Condensed,Total/Evaporated_Condensed,Whole Milk/Dry,Nonfat Milk/Dry,Buttermilk/Dry,Total/Dry,Dried Whey,All Dairy
52,1956,312.5530465135739,8.266290509605154,0.6335696269111687,0.11356436708785099,8.976287146075698,5.415495092764875,2.5442721182254298,7.959767210990305,4.4,17.15599419810844,2.7566950618531574,1.2740739860065033,,1.9655298684468647,23.152293114414967,16.002758276315085,4.500032695085631,20.502790971400714,0.3,5.596804203993556,0.2,6.096804203993556,0.2,708.9959041974545
53,1957,309.20168338508313,7.9767096512904185,0.6632584183928015,0.12326041403760028,8.530191389235961,5.102934479255462,2.5339514462206756,7.636885925476138,4.5,17.09321613321345,2.920714761142964,1.2860796151196328,,1.9890724803531192,23.289082989829165,15.460606980627533,4.600815068253208,20.061422048880743,0.2,5.345142870488225,0.3,5.845142870488225,0.3,691.430106145708
54,1958,302.8559889222248,7.742903300253866,0.7154396492037849,0.1500115393491807,8.42995044245755,5.4610918738263825,2.612825239317565,8.073917113143947,4.6,16.982143780040314,3.031061036746085,1.2771719468706393,,2.105946330846841,23.396323094503877,14.85003531620928,4.197747802068439,19.047783118277717,0.3,5.609511832365727,0.3,6.209511832365727,0.3,686.1968175214338
55,1959,296.5981995473342,7.48770484828889,0.7771330031936197,0.21555513957195288,8.030586255386197,5.1843025192999495,2.8067520175294933,7.991054536829443,4.7,17.762106588808006,3.4108644457370687,1.3687914024159527,,2.3751379374608277,24.916900374421854,14.366956001197245,4.602621517679149,18.969577518876395,0.3,6.214990427676721,0.4,6.914990427676721,0.3,672.1804001739395
56,1960,291.84515971307763,7.389751026508648,0.8556553820167908,0.24447296629051166,7.654797947650702,5.385479684066619,2.905834361906449,8.291314045973067,4.7,17.374033464142006,3.6022964393842956,1.347476905535476,,2.3783529177344427,24.70215972679622,13.804096949704158,4.499892069009415,18.303989018713573,0.3,6.268161464761915,0.4,6.9681614647619154,0.3,658.0801567490079
57,1961,284.6080702981551,7.087741540613798,0.8907493223747487,0.26777126868934165,7.5180602206967135,5.623574372179366,2.847172697628082,8.470747069807448,4.6,17.078569445427377,4.002060525556505,1.3118007959018134,,2.3378401772541935,24.73027094413989,13.326728037846165,4.801541719518104,18.12826975736427,0.3,6.323918972622502,0.4,7.023918972622502,0.3,645.6494874544752
58,1962,283.2196629183242,6.761012213962352,0.9420200138880666,0.2476166893648632,7.531977398706966,6.014860242953178,3.0449559875199688,9.059816230473146,4.6,16.993459777632438,4.538646281186675,1.307540554739517,,2.4120479473351253,25.251694560893757,12.522917582476492,4.497743087199391,17.020660669675884,0.3,6.185029323783893,0.4,6.885029323783893,0.4,647.2943850582723
59,1963,284.4182233941523,6.361316405193041,0.9762153615975976,0.26527591347760804,7.096733283309202,6.087443590746241,3.0648587522854336,9.152302343031675,4.6,17.063793978080977,4.835427653480729,1.33701820948838,,2.395451326872468,25.631691167922554,11.683452933281195,4.798089219095127,16.48154215237632,0.3,5.879672588537429,0.4,6.579672588537429,0.4,638.5844579955824
60,1964,284.33460115830724,6.032196127466111,0.8998592661961589,0.2772822157464908,7.1030647926665935,6.144177102387317,3.2310346085497343,9.375211710937052,4.7,17.324304676140894,5.105811172083861,1.3760455263199036,,2.459338471720624,26.265499846265282,11.402425360494869,4.799649797539202,16.20207515803407,0.3,5.962592957386822,0.4,6.662592957386822,0.5,638.8537123024248
61,1965,283.72931802445146,5.766667011150957,0.9249403180967931,0.31520312516147697,6.649408398223393,6.1193085026993925,3.3607304056036194,9.480038908303012,4.6,17.53189605924767,5.349706386417091,1.4034471933011843,,2.5294308374034387,26.814480476369383,10.766689140157384,5.002496101449798,15.769185241607182,0.3,5.6670355063998,0.4,6.3670355063998,0.6,624.107708064209
62,1966,284.27312144639427,5.435227226244529,0.9510369370474905,0.35791712684582977,5.753968253968254,6.160968660968661,3.5409035409035408,9.701872201872202,4.6,17.196863553113552,5.495283882783883,1.4490537240537242,,2.6134920634920604,26.75469322344322,9.895197395197394,5.280830280830281,15.176027676027676,0.3306878306878307,5.855718355718356,0.3205128205128205,6.506919006919007,0.7173382173382173,606.1406186406186
