,Year,US Population,Total Fish,Per Cap Fish,Total Shellfish,Per Cap Shellfish,Total both,Per cap both,Total Salmon,Per Cap Salmon,Total Sardines,Per Cap Sardines,Total Tuna,Per Cap Tuna,Total Canned Shellfish,Per Cap Canned Shellfish,Other Total,Other Per cap,Total Canned,Per Cap Canned,Total Cured,Per Cap Cured,Total fish and Shellfish,Total Per cap fish and shellfilsh
68,1972,209.896,,4.7,,2.4,1494,7.117810725311584,148,0.7051111026413082,85,0.4049624575980486,613,2.9204939589129855,106,0.5050120059458018,84,0.4001981933910127,1036,4.935777718489157,92,0.4383123070472996,2622,12.49190075084804
69,1973,211.909,,5.2,,2.2,1563,7.375807540028975,84,0.3963965664506935,105,0.49549570806336685,652,3.076792396736335,105,0.49549570806336685,105,0.49549570806336685,1051,4.959676087377129,86,0.40583457993761474,2700,12.741318207343719
70,1974,213.854,,4.4,,2.5,1477,6.906581125440721,64,0.2992695951443508,86,0.4021435184752214,664,3.1049220496226395,107,0.5003413543819615,86,0.4021435184752214,1007,4.708820036099395,97,0.45358048014065666,2581,12.068981641680773
71,1975,215.973,1079,4.995994869729087,539,2.495682330661703,1618,7.491677200390789,64,0.2963333379635417,42,0.19446875303857425,615,2.8475781694934086,106,0.49080209100211597,85,0.39356771448282885,912,4.2227500659804695,91,0.4213489649169109,2621,12.13577623128817
72,1976,218.035,1212,5.558740569174674,563,2.5821542412915357,1775,8.140894810466209,67,0.30729011397252737,66,0.3027036943609971,617,2.8298209003141697,88,0.4036049258146628,87,0.3990185062031325,925,4.24243814066549,104,0.4769876395991469,2804,12.860320590730845
73,1977,220.23899999999998,1126,5.112627645421565,574,2.606259563474226,1700,7.718887208895791,108,0.49037636385926203,65,0.29513392269307437,606,2.7515562638769704,130,0.5902678453861487,87,0.3950254042199611,996,4.522359800035416,88,0.3995659261075468,2784,12.640812935038754
74,1978,222.585,1262,5.669744142687063,531,2.3856054990228452,1793,8.055349641709908,132,0.5930318754633062,66,0.2965159377316531,727,3.2661679807713906,110,0.49419322955275513,67,0.3010086034548599,1102,4.950917626973965,81,0.36390592357975604,2976,13.370173192263628
75,1979,225.055,1241,5.514207638132901,519,2.306102952611584,1760,7.8203105907444845,113,0.5020994867921175,68,0.3021483637333096,719,3.1947746106507298,112,0.49765612850192176,67,0.2977050054431139,1079,4.794383595121192,83,0.3687987380862456,2922,12.983492923951923
76,1980,227.726,1219,5.35292412811888,564,2.4766605482026645,1783,7.829584676321544,113,0.4962103580618814,68,0.2986044632584773,677,2.972870906264546,90,0.3952117896068082,23,0.1009985684550732,971,4.2638960856467865,73,0.32056067379218883,2827,12.414041435760518
77,1981,229.966,1117,4.857239765878434,661,2.874337945609351,1778,7.731577711487785,114,0.4957254550672708,91,0.3957106702729969,684,2.974352730403625,91,0.3957106702729969,68,0.29569588547872294,1048,4.557195411495612,67,0.29134741657462404,2893,12.58012053955802
78,1982,232.188,1175,5.06055437834858,644,2.77361448481403,1819,7.83416886316261,115,0.49528830085964826,69,0.29717298051578894,645,2.7779213396041142,92,0.39623064068771857,69,0.29717298051578894,990,4.263786242183059,69,0.29717298051578894,2878,12.395128085861458
79,1983,234.307,1256,5.360488589756175,698,2.9789976398485747,1954,8.33948622960475,116,0.49507697166537923,47,0.20059153162304158,744,3.1753212665434667,93,0.39691515831793334,93,0.39691515831793334,1093,4.6648200864677545,70,0.29875334497048744,3117,13.303059661042992
80,1984,236.348,1315,5.5638296071893985,798,3.376377206492122,2113,8.94020681368152,142,0.6008089765938361,47,0.1988593091542979,751,3.1775178973378235,94,0.3977186183085958,117,0.49503274832027344,1151,4.869937549714827,70,0.2961734391659756,3334,14.106317802562323
81,1985,238.466,1469,6.160207325153271,854,3.581223319047579,2323,9.74143064420085,119,0.49902292150662986,71,0.29773636493252703,781,3.2751000142577977,119,0.49902292150662986,95,0.39837964321957847,1185,4.969261865423163,71,0.29773636493252703,3579,15.008428874556541
82,1986,240.651,1460,6.066876929661626,886,3.6816801093700002,2346,9.748557039031626,120,0.49864741887629804,72,0.2991884513257788,861,3.577795230437438,120,0.49864741887629804,120,0.49864741887629804,1293,5.372925938392111,72,0.2991884513257788,3711,15.420671428749516
83,1987,242.804,1668,6.86973855455429,912,3.7561160442167343,2580,10.625854598771024,97,0.39949918452743777,72,0.29653547717500534,846,3.484291856806313,121,0.4983443435857729,121,0.4983443435857729,1257,5.177015205680302,72,0.29653547717500534,3909,16.099405281626332
84,1988,245.021,1489,6.077030132111125,952,3.885381253035454,2441,9.962411385146579,73,0.2979336465037691,73,0.2979336465037691,879,3.5874476065316854,98,0.39996571722423796,73,0.2979336465037691,1196,4.88121426326723,73,0.2979336465037691,3710,15.141559294917577
