,Unnamed: ,Year,Fluid Milk,Fluid Cream,Sour Cream,Yoghurt,Butter,American Cheese,Other Cheeses,Total,Cottage Cheese,Ice cream,Lowfat and non fat icecream,Sherbet,Frozen Yoghurt,Other Frozen Prodcuts,Total.,Whole Milk/Evaporated_Condensed,Skim Milk/Evaporated_Condensed,Total/Evaporated_Condensed,Whole Milk/Dry,Nonfat Milk/Dry,Buttermilk/Dry,Total/Dry,Dried Whey,All Dairy
17,22,1926,288.5167423358348,12.640868165285314,0.0,0.0,18.313926250244894,3.2453980936480487,1.3714149424601991,4.616813036108248,1.0,9.135655084882918,0.0,0.0,0.0,0.0,9.135655084882918,11.823130062948795,2.495804833172909,14.318934896121707,0.1,0.5366406296583388,0.0,0.6366406296583388,0.0,817.9680911777983
18,23,1927,285.5462679043979,12.525727727139078,0.0,0.0,18.288738606292267,3.1587348258915444,1.4029487125635318,4.5616835384550765,1.0,9.503360356197758,0.0,0.0,0.0,0.0,9.503360356197758,11.643634225227874,2.503465367328937,14.147099592556811,0.1,0.6636703490570001,0.0,0.763670349057,0.0,812.8533624564204
19,24,1928,285.8126778912778,12.563377009186036,0.0,0.0,17.57545079620609,2.987328747230497,1.42727929034346,4.414608037573958,1.2,9.483536499348595,0.0,0.0,0.0,0.0,9.483536499348595,12.214855322009145,2.696894007916421,14.911749329925566,0.1,0.7883228638524924,0.0,0.8883228638524924,0.0,804.7614700976691
20,25,1929,287.6559330524691,12.65531712204456,0.0,0.0,17.58276051803855,3.2274754243760624,1.478233018798197,4.70570844317426,1.2,10.24552218581389,0.0,0.0,0.0,0.0,10.24552218581389,13.607956178603398,3.096076933816223,16.704033112419623,0.1,1.0922499527786675,0.0,1.1922499527786676,0.0,811.8866359522696
21,26,1930,285.5610715243303,12.569367144145534,0.0,0.0,17.566646101893042,3.165892781764457,1.5180050004870604,4.683897782251518,1.2,9.331067149397668,0.0,0.0,0.0,0.0,9.331067149397668,13.572750592590188,2.703185375198883,16.27593596778907,0.1,1.3069454817027633,0.0,1.4069454817027631,0.0,818.9515212520699
22,27,1931,285.5207997420187,12.56046436633344,0.0,0.0,18.28448074491136,3.1252768850333066,1.401541695865452,4.526818580898759,1.2,8.20760940482807,0.0,0.0,0.0,0.0,8.20760940482807,13.419358996045077,2.4003415251029003,15.819700521147976,0.1,1.385432021200332,0.0,1.485432021200332,0.0,837.2761762076215
23,28,1932,291.0685677667414,12.80839474527395,0.0,0.0,18.45552985618132,3.0252342955926017,1.400571433144723,4.425805728737325,1.3,6.048667856485446,0.0,0.0,0.0,0.0,6.048667856485446,13.973701270118209,2.2008979663702792,16.17459923648849,0.1,1.4325844944737454,0.0,1.5325844944737457,0.0,831.1471080200722
24,29,1933,289.8096019238886,12.748946878060822,0.0,0.0,18.14782401145676,3.158564722730528,1.3764022595274088,4.534966982257936,1.2,5.792537194685337,0.0,0.0,0.0,0.0,5.792537194685337,13.819715172249184,1.9969766886784948,15.81669186092768,0.1,1.4241387540774924,0.0,1.5241387540774924,0.0,813.4457792982736
25,30,1934,280.08134584645575,12.30474622944593,0.0,0.0,18.539747796181366,3.41542475392339,1.4942483298414833,4.909673083764874,1.2,6.815195477724632,0.0,0.0,0.0,0.0,6.815195477724632,14.9741076016919,2.197889077756256,17.171996679448156,0.1,1.486342254022216,0.0,1.586342254022216,0.0,812.8869035854054
26,31,1935,284.1100196463654,12.526522593320236,0.0,0.0,17.540553697335156,3.784488308914747,1.5153656506650337,5.299853959579781,1.3,7.742521317190371,0.0,0.0,0.0,0.0,7.742521317190371,16.150814214600903,2.402600461676167,18.55341467627707,0.1,1.5703270991347498,0.0,1.67032709913475,0.0,799.0452411237261
27,32,1936,286.6937908522253,12.658820956947514,0.0,0.0,16.780958176328785,3.8851311816883936,1.544690710791771,5.429821892480165,1.4,9.078041987502049,0.0,0.0,0.0,0.0,9.078041987502049,15.883789329151744,2.800727096839625,18.68451642599137,0.1,1.763131821408789,0.0,1.863131821408789,0.0,791.2561144007301
28,33,1937,288.7172520861634,12.8003104987386,0.0,0.0,16.733741208582437,3.9314211273175608,1.6206450012019136,5.552066128519474,1.5,10.15622164840533,0.0,0.0,0.0,0.0,10.15622164840533,16.70272407937283,3.0009072510293806,19.703631330402214,0.1,1.892044881785966,0.0,1.9920448817859664,0.1,795.8685183892804
29,34,1938,288.0801078374735,12.79414596572309,0.0,0.0,16.619347690603146,4.247166632043026,1.600381629465488,5.847548261508514,1.6,9.915033584931791,0.0,0.0,0.0,0.0,9.915033584931791,17.24257322900076,3.200763258930976,20.443336487931735,0.1,2.1158891735721594,0.0,2.2158891735721595,0.1,794.6895028814564
