,Unnamed: ,Year,US Population,Beef,Veal,Pork,Lamb,Total,Chicken,Turkey,Total.,Total_Availability
45,50,1954,162.391,81.24218706701727,10.136029706079771,60.5144373764556,4.532270877080626,156.42492502663328,22.87688357113387,5.363597736327752,28.24048130746162,184.66540633409488
46,51,1955,165.275,82.98895779761004,9.541672969293602,82.075328997126,4.586295567992739,179.1922553320224,21.424897897443653,5.106640447738617,26.53153834518227,205.72379367720467
47,52,1956,168.221,86.34474887201955,9.648022541775402,82.99201645454491,4.39303059665559,183.37781846499547,24.491591418431707,5.29065931126316,29.782250729694866,213.16006919469032
48,53,1957,171.274,85.18514193631258,8.927216039795882,75.36462043275687,4.168758830879176,173.64573723974448,25.54970398309142,5.949531160596471,31.49923514368789,205.1449723834324
49,54,1958,174.141,81.19282650266165,6.8565128258135655,73.22801637753315,4.151808017640877,165.42916372364925,28.138117961881463,6.012369286957122,34.15048724883859,199.57965097248783
50,55,1959,177.073,82.15820593766412,5.805515239477503,82.06784772382012,4.7099218966189085,174.74149079758067,28.84121238133425,6.3476645225415504,35.1888769038758,209.93036770145648
51,56,1960,180.671,85.73595098272551,6.188043460212209,77.80440690536943,4.737893740556038,174.4662950888632,27.99010355840174,6.204648227994531,34.19475178639627,208.66104687525947
52,57,1961,183.691,88.51821809451742,5.776004268037084,74.45111627679091,5.035630488156741,173.78096912750215,29.996025934857997,7.485396671584345,37.48142260644234,211.26239173394447
53,58,1962,186.538,89.50455135146726,5.564549850432619,75.16967052289614,5.0981569438934695,175.33692866868947,30.01533199669772,7.103110358211195,37.11844235490892,212.4553710235984
54,59,1963,189.242,94.90493653628688,5.030595745130574,76.4365204341531,4.808657697551284,181.18071041312183,30.7067141543632,6.922353388782617,37.629067543145815,218.80977795626765
55,60,1964,191.889,101.07926978617846,5.341629796392706,76.35143233848736,4.1586542219720775,186.93098614303065,31.09089108807696,7.431379599664389,38.52227068774135,225.453256830772
56,61,1965,194.303,100.92999078758434,5.331878560804517,67.80646721872539,3.705552667740591,177.77388923485483,33.39114681708466,7.565503363303706,40.956650180388365,218.7305394152432
57,62,1966,196.56,105.55102767602769,4.715990028490029,66.07564611314612,3.945721408221408,180.28838522588524,35.78600309363044,7.936507936507937,43.72251103013838,224.0108962560236
58,63,1967,198.712,107.89928640444464,4.026077941946133,72.2385311405451,3.839234671283063,188.0031301582189,36.659761237630335,8.660775393534362,45.3205366311647,233.32366678938365
59,64,1968,200.706,110.79478441102908,3.74230964694628,73.70594800354749,3.7027742070491168,191.94581626857197,36.86497774409335,8.071507578248783,44.936485322342136,236.8823015909141
60,65,1969,202.677,111.51537668309676,3.407130557488023,71.09574840756474,3.434060105488043,189.45231575363755,38.51063136947952,8.338390641266646,46.84902201074617,236.30133776438373
61,66,1970,205.052,114.36403936562434,2.987875207264499,72.94162280299632,3.260944267795486,193.55448164368065,40.12499863774067,8.088420136375163,48.21341877411583,241.76790041779643
62,67,1971,207.661,113.43138239727249,2.7304203533643774,79.05815513745961,3.1623399290189296,198.3822978171154,40.11442148097621,8.384481476348471,48.49890295732468,246.8812007744401
63,68,1972,209.896,115.25976836147429,2.32672864180356,71.27164499561688,3.3025072321530664,192.16064923104776,41.53597398965202,8.970179929798567,50.50615391945059,242.6668031504984
