,Unnamed: ,Year,"U.S. total population, July ",Butter,Margarine,Lard,Edible tallow,Shortening,Salad and cooking oils ,Other edible fats and oils,Total
26,31,1936,128.181,16.780958176328785,3.0503740804019315,11.249717196776432,0.0,12.326319813388878,0.0,6.0,49.407369266896026
27,32,1937,128.961,16.733741208582437,3.0784500740533955,10.522561084358836,0.0,12.329308860818388,0.0,6.6,49.26406122781306
28,33,1938,129.969,16.619347690603146,2.9622448430010238,11.056482699720704,0.0,11.533519531580607,0.0,6.9,49.07159476490548
29,34,1939,131.028,17.3703330585829,2.304850871569436,12.684311750160273,0.0,10.654211313612358,0.0,7.2,50.213706993924966
30,35,1940,132.122,16.984302387187597,2.406866381072039,14.388216950999832,0.0,8.96898321248543,0.0,7.4,50.14836893174489
31,36,1941,133.402,16.38656092112562,2.728594773691549,13.785400518732851,0.0,10.487099143940872,0.0,8.2,51.58765535749089
32,37,1942,134.86,16.43185525730387,2.928963369420139,12.857778436897522,0.0,9.587720599139848,0.0,7.6,49.40631766276138
33,38,1943,136.739,13.097945721410865,3.663914464783273,12.732285595184988,0.0,9.770438572755396,0.0,6.7,45.96458435413452
34,39,1944,138.397,13.389018548089917,3.598343894737603,12.572526861131385,0.0,9.768997882902086,0.0,6.9,46.22888718686099
35,40,1945,139.928,11.684580641472758,3.8519810188096737,12.170544851637985,0.0,9.95511977588474,0.0,6.2,43.86222628780516
36,41,1946,141.389,10.679755850879488,3.80510506475044,11.677004576027835,0.0,10.099795599374774,0.0,6.4,42.661661091032535
37,42,1947,144.126,11.2956718426932,4.988690451410571,12.71110000971372,0.0,9.339050552988358,0.0,6.9,45.23451285680585
38,43,1948,146.631,10.134282655100218,6.083297529171867,13.005435412702637,0.0,9.670533516105053,0.0,7.1,45.99354911307977
39,44,1949,149.188,10.597367080462236,5.731023942944473,12.00498699627316,0.0,9.699171515135266,0.0,7.9,45.93254953481513
40,45,1950,151.684,10.864692386804146,6.124574773871998,12.638116083436618,0.0,11.042694021782124,0.0,8.6,49.27007726589489
41,46,1951,154.287,9.702696921970094,6.675870293673478,12.30174933727404,0.0,9.035109892602746,0.0,7.7,45.41542644552036
42,47,1952,156.954,8.626731399008627,8.11065662550811,11.614868050511614,0.0,10.245039948010245,0.0,8.7,47.2972960230386
43,48,1953,159.565,8.598376837025663,8.059411525083823,11.142794472472032,0.0,10.397016889668787,0.0,9.1,47.29759972425031
44,49,1954,162.391,9.089173661101908,8.319426569206422,10.031344101581984,0.0,11.81099937804435,0.0,9.5,48.75094370993467
45,50,1955,165.275,9.305702616850702,8.04114354863107,9.934956890031764,0.0,11.556496747844502,0.0,10.5,49.33829980335804
46,51,1956,168.221,8.976287146075698,8.066769309420346,9.665856224847076,0.0,11.003382455222594,0.0,10.9,48.61229513556571
47,52,1957,171.274,8.530191389235961,8.49515980242185,9.289209103541694,0.0,10.468605859616757,0.0,10.8,47.583166154816254
48,53,1958,174.141,8.42995044245755,8.912318178946945,9.429140753757013,0.0,11.289702023073255,0.0,10.5,48.56111139823476
49,54,1959,177.073,8.030586255386197,9.064058326227036,8.685683305755253,0.0,12.58238127777809,0.0,11.2,49.56270916514657
50,55,1960,180.671,7.654797947650702,9.331879493665282,7.447238350371671,0.0,12.601358270004594,0.0,11.5,48.53527406169225
51,56,1961,183.691,7.5180602206967135,9.336331121285202,7.507716763477796,0.0,12.854739753172447,0.0,11.2,48.41684785863215
52,57,1962,186.538,7.531977398706966,9.172393828603289,6.979811084068661,0.0,13.445517803343018,0.0,11.7,48.82970011472193
53,58,1963,189.242,7.096733283309202,9.44821973980406,6.193128375307808,0.0,13.546675685101617,0.0,13.2,49.484757083522695
54,59,1964,191.889,7.1030647926665935,9.56803151822147,6.150951852372987,0.0,13.76420743242187,0.0,14.2,50.78625559568292
55,60,1965,194.303,6.649408398223393,9.78883496394806,6.244885565328378,0.0,14.160872451789215,12.5,1.6,50.94400137928905
