,Year,Total,Fresh,Processed,,,,,
42,2009,169.26408701240751,103.28236413014875,65.98172288225875,15.554822249731407,35.9391283987375,4.878835253533889,8.974726971983765,0.6342100082721951
43,2010,173.4974567596055,106.99495302333372,66.50250373627179,14.980960581345588,36.41696449166485,5.103359991193495,9.287241177726456,0.7139774943414127
44,2011,167.7372272764415,106.6388366296078,61.0983906468337,14.22320602408534,31.6014836033379,4.720701285824173,9.557974736365052,0.9950249972212303
45,2012,168.25236096524137,108.22075149563672,60.031609469604646,13.298914014450538,32.450357722841915,4.572185267297768,9.133112702181535,0.5770397628328893
46,2013,175.69742238078123,112.45577091512985,63.24165146565137,15.223104137710598,32.42320512335948,4.820697369395359,9.949810310120514,0.8248345250654179
47,2014,174.24702671679677,113.1525046782594,61.09452203853735,13.810685283825189,31.59700327917503,5.568360372508221,9.341512228416489,0.7769608746124164
48,2015,177.05116228469754,113.29702887366962,63.754133411027915,14.412443541710841,32.67905690226129,5.61886080920728,10.21146068851204,0.8323114693364675
49,2016,179.7275109549982,117.51792741922414,62.209583535774044,13.728545850331098,32.903093648658505,5.00265322741162,9.734905352659466,0.8403854567133597
50,2017,178.69101480945784,118.34053607389333,60.35047873556452,13.446543449121847,31.588389999729312,4.744997771665622,9.508557210649183,1.061990304398552
51,2018,167.29073334954515,115.68632805054798,51.60440529899716,12.083952057622652,31.011214386664232,4.771038299182403,2.95913272495367,0.7790678305742069
52,2019,162.59676141345366,113.12850259121325,49.468258822240415,12.397847402813264,28.384169087398924,4.773697037945322,3.0990489177742715,0.8134963763086361
